"Timestamp","Entrant Name","Hill 1 (1 Point)","Hill 2 (2 Points)","Hill 3 (3 Points)","Hill 4 (4 Points)","Hill 5 (5 Points)","If you win, what do you want everyone to know?"
"2017/05/31 8:53:44 PM EST","August","1","1","1","23","24","Uh, whoops, probably shouldn't have been so awesome at a game I created."
"2017/05/31 9:05:41 PM EST","Kyle","3","7","8","15","17","I hacked the algorithm to win. Kappa."
"2017/06/01 4:45:54 PM EST","Kent Johnson","2","5","12","30","1","I'm Da Man"
"2017/06/01 6:55:37 PM EST","Ozymandias","1","11","11","25","2","Who watches the watchman?!"
"2017/06/05 9:16:10 AM EST","Jessica","7","7","12","12","12","gg"
"2017/06/05 9:20:01 AM EST","Chad","3","19","1","26","1","RARRRRRRRRR"
"2017/06/09 8:56:23 AM EST","Andrew","9","9","1","14","17","August Johnson likes me"
"2017/06/12 2:26:11 PM EST","Adam C Johnson","1","2","15","31","1","Everybody Poops"
